temperature_degC,salinity_g/kg,basin
24.476994,36.389008,N_Atlantic
22.151,36.4963,N_Atlantic
25.657673,36.36899,N_Atlantic
25.245024,37.48299,N_Atlantic
26.277857,35.767467,N_Atlantic
28.617737,35.909657,N_Atlantic
21.544926,35.5993,N_Atlantic
24.359993,35.810524,N_Atlantic
27.765862,36.03757,N_Atlantic
23.899988,37.177013,N_Atlantic
27.249586,35.757954,N_Atlantic
25.56,37.426987,N_Atlantic
24.740034,37.208984,N_Atlantic
14.4012985,36.03605,N_Atlantic
28.054007,36.47002,N_Atlantic
20.985832,37.036,N_Atlantic
15.626583,35.834137,N_Atlantic
21.139145,36.749,N_Atlantic
27.601553,34.9171,N_Atlantic
18.679968,36.117035,N_Atlantic
25.370598,36.14769,N_Atlantic
13.505009,35.863106,N_Atlantic
23.479958,37.2589,N_Atlantic
26.940006,37.093,N_Atlantic
21.189663,37.03411,N_Atlantic
14.384067,35.642,N_Atlantic
27.009,35.11291,N_Atlantic
27.198278,36.26593,N_Atlantic
26.044006,35.7761,N_Atlantic
28.209013,35.168995,N_Atlantic
25.116,37.244007,N_Atlantic
25.721317,37.238358,N_Atlantic
25.894,35.534,N_Atlantic
18.833399,35.78,N_Atlantic
27.805767,36.313313,N_Atlantic
19.804296,36.6413,N_Atlantic
23.116083,36.49084,N_Atlantic
11.856857,35.658,N_Atlantic
18.680384,36.59723,N_Atlantic
26.1909,37.428,N_Atlantic
28.903034,33.71707,N_Atlantic
23.653503,37.615,N_Atlantic
12.478,35.652,N_Atlantic
20.865957,36.05274,N_Atlantic
28.214384,35.2332,N_Atlantic
20.238,36.83419,N_Atlantic
17.670036,36.358986,N_Atlantic
20.343597,36.655903,N_Atlantic
27.776703,36.776173,N_Atlantic
18.742,36.594,N_Atlantic
16.453857,38.799484,N_Atlantic
19.692179,36.484024,N_Atlantic
27.278055,34.797,N_Atlantic
27.469189,37.38325,N_Atlantic
18.873196,36.5551,N_Atlantic
28.430918,35.146652,N_Atlantic
28.223995,36.480007,N_Atlantic
19.288534,36.153614,N_Atlantic
22.369,36.557903,N_Atlantic
27.679806,36.635544,N_Atlantic
21.043674,36.908,N_Atlantic
28.564182,35.8621,N_Atlantic
26.186016,36.894493,N_Atlantic
25.636465,37.2162,N_Atlantic
26.727253,36.592,N_Atlantic
27.803013,36.749992,N_Atlantic
28.371439,35.667843,N_Atlantic
14.114106,35.69845,N_Atlantic
14.740592,35.78915,N_Atlantic
25.783485,36.15013,N_Atlantic
24.387,37.131012,N_Atlantic
26.097385,37.465897,N_Atlantic
28.695095,35.275135,N_Atlantic
11.614514,35.333,N_Atlantic
22.246807,36.9123,N_Atlantic
25.467606,35.802547,N_Atlantic
16.48509,35.822,N_Atlantic
22.295034,36.42349,N_Atlantic
15.115074,35.863018,N_Atlantic
13.936569,35.508713,N_Atlantic
10.646777,33.19504,N_Atlantic
26.243036,35.111008,N_Atlantic
26.348763,36.085434,N_Atlantic
26.673359,36.087,N_Atlantic
15.958288,35.97764,N_Atlantic
23.323174,36.317,N_Atlantic
26.893194,34.220627,N_Atlantic
24.990023,36.252,N_Atlantic
24.840052,36.186295,N_Atlantic
23.519232,37.1298,N_Atlantic
26.035816,35.854,N_Atlantic
21.907,36.377007,N_Atlantic
15.372029,36.06157,N_Atlantic
23.601,36.358173,N_Atlantic
13.535963,35.84,N_Atlantic
15.03177,35.956192,N_Atlantic
14.768093,35.955906,N_Atlantic
14.6033,35.737,N_Atlantic
25.790066,36.867012,N_Atlantic
28.336878,35.76259,N_Atlantic
25.625242,36.530033,N_Atlantic
22.933815,36.80509,N_Atlantic
21.925043,36.4789,N_Atlantic
21.882616,35.83045,N_Atlantic
11.448112,34.75625,N_Atlantic
15.531676,35.917847,N_Atlantic
25.878,36.991013,N_Atlantic
22.11558,37.099,N_Atlantic
12.559917,35.651,N_Atlantic
26.854,35.8374,N_Atlantic
23.762331,37.42052,N_Atlantic
25.101183,36.82659,N_Atlantic
25.22,37.28892,N_Atlantic
28.09699,35.594,N_Atlantic
18.27744,36.424217,N_Atlantic
25.678427,36.70257,N_Atlantic
22.456957,36.75585,N_Atlantic
26.404,36.666008,N_Atlantic
15.3521,35.8332,N_Atlantic
25.995,36.55693,N_Atlantic
21.388,36.4863,N_Atlantic
15.562698,35.816532,N_Atlantic
18.266409,35.706,N_Atlantic
16.49623,36.159866,N_Atlantic
23.645164,36.613,N_Atlantic
12.719792,32.677925,N_Atlantic
22.327524,36.84067,N_Atlantic
18.461609,36.651653,N_Atlantic
19.797693,36.4366,N_Atlantic
22.82857,37.069954,N_Atlantic
28.371605,35.3248,N_Atlantic
18.008842,36.538734,N_Atlantic
25.268465,35.886658,N_Atlantic
24.381727,36.518288,N_Atlantic
13.52725,35.837,N_Atlantic
22.361614,36.7,N_Atlantic
27.430632,36.776,N_Atlantic
25.070045,37.560013,N_Atlantic
25.993938,36.747715,N_Atlantic
27.98869,34.06043,N_Atlantic
20.578262,36.549,N_Atlantic
27.733734,35.589863,N_Atlantic
10.382976,34.259163,N_Atlantic
27.026026,36.15492,N_Atlantic
22.234623,36.50429,N_Atlantic
28.786322,34.74734,N_Atlantic
25.889,37.307,N_Atlantic
19.118048,36.18605,N_Atlantic
17.86245,36.520775,N_Atlantic
23.714571,36.90604,N_Atlantic
23.089132,36.42697,N_Atlantic
17.063442,36.29186,N_Atlantic
22.072,36.657,N_Atlantic
19.258923,36.653194,N_Atlantic
16.979786,36.15917,N_Atlantic
18.817259,36.545326,N_Atlantic
24.002995,37.02601,N_Atlantic
28.233028,34.250496,N_Atlantic
18.019314,36.60693,N_Atlantic
20.215107,36.45301,N_Atlantic
21.211819,36.794907,N_Atlantic
19.383787,36.89105,N_Atlantic
26.746063,37.150963,N_Atlantic
22.358603,36.38,N_Atlantic
25.349506,37.278706,N_Atlantic
22.77741,36.028862,N_Atlantic
24.709986,37.205,N_Atlantic
26.086967,35.739742,N_Atlantic
12.992019,35.58402,N_Atlantic
26.49179,36.174408,N_Atlantic
9.137741,32.111397,N_Atlantic
7.346991,33.62117,N_Atlantic
27.268,35.815,N_Atlantic
26.102795,37.45173,N_Atlantic
12.205249,35.5778,N_Atlantic
27.294949,37.295063,N_Atlantic
24.984,36.497,N_Atlantic
14.9061365,35.94814,N_Atlantic
26.732817,36.289253,N_Atlantic
27.070024,36.59601,N_Atlantic
20.37401,35.848583,N_Atlantic
23.36256,36.672733,N_Atlantic
18.321,36.462,N_Atlantic
20.476908,36.526,N_Atlantic
20.193893,36.604527,N_Atlantic
26.452242,35.424187,N_Atlantic
28.441,36.245,N_Atlantic
28.439116,36.152344,N_Atlantic
20.818,36.666,N_Atlantic
27.809,35.32773,N_Atlantic
23.260965,37.263,N_Atlantic
26.126581,37.177517,N_Atlantic
24.225477,36.379265,N_Atlantic
20.269176,36.553123,N_Atlantic
26.503782,35.865,N_Atlantic
20.088007,36.566,N_Atlantic
17.445162,36.3915,N_Atlantic
25.918016,36.577908,N_Atlantic
26.134502,36.21725,N_Atlantic
25.388,37.184998,N_Atlantic
7.818023,34.827995,Arctic
15.802091,35.497715,Arctic
6.711419,35.055,Arctic
1.7589366,34.316177,Arctic
5.7415257,34.969,Arctic
13.709,34.84097,Arctic
8.917986,35.158985,Arctic
6.287946,34.946,Arctic
12.256519,35.262173,Arctic
8.915,34.67,Arctic
14.754228,35.393887,Arctic
4.5913086,34.87719,Arctic
7.489942,34.809944,Arctic
5.290456,34.733154,Arctic
13.720347,35.399467,Arctic
9.130195,34.59958,Arctic
14.512737,35.4829,Arctic
7.017,34.692142,Arctic
5.022912,34.8502,Arctic
5.0212154,34.90122,Arctic
4.323,34.891888,Arctic
9.496705,34.591118,Arctic
5.003354,34.602,Arctic
10.482768,34.550697,Arctic
12.3061695,35.60913,Arctic
9.052,34.9906,Arctic
5.257694,35.062305,Arctic
7.830361,35.06766,Arctic
5.737005,34.96,Arctic
6.859596,35.080406,Arctic
10.804216,35.455,Arctic
4.57625,34.893,Arctic
3.835635,34.400288,Arctic
5.098903,33.871933,Arctic
12.141008,34.863007,Arctic
6.306023,34.887005,Arctic
11.993834,34.627243,Arctic
9.531,35.250263,Arctic
10.096982,35.268982,Arctic
11.764546,35.55015,Arctic
6.7915807,34.918,Arctic
8.128455,34.237,Arctic
10.519246,34.410126,Arctic
15.498399,35.568993,Arctic
11.619223,34.706,Arctic
4.467237,33.537346,Arctic
11.119,35.434,Arctic
4.99615,34.84199,Arctic
7.6200123,34.981987,Arctic
6.0722156,35.211,Arctic
10.121348,34.6949,Arctic
10.398813,35.312,Arctic
10.294046,35.152023,Arctic
13.25019,35.64952,Arctic
11.6593,35.603,Arctic
12.395499,35.093502,Arctic
10.987298,34.65385,Arctic
4.4163384,34.925667,Arctic
11.693461,35.617477,Arctic
5.89816,34.6187,Arctic
4.148,34.9079,Arctic
10.7248,34.847828,Arctic
10.074336,34.727173,Arctic
8.395,34.80899,Arctic
10.091962,34.6696,Arctic
8.767216,34.694534,Arctic
7.015948,34.94258,Arctic
9.551,35.119053,Arctic
9.288311,34.96479,Arctic
11.464266,34.765095,Arctic
14.805,34.9064,Arctic
11.908357,34.890057,Arctic
7.2796183,33.857864,Arctic
6.9708247,34.75,Arctic
10.286,34.908997,Arctic
6.2219563,33.902363,Arctic
12.589812,35.47582,Arctic
9.19669,35.020126,Arctic
6.8634048,33.796597,Arctic
10.808658,35.473,Arctic
17.598,35.5591,Arctic
11.728,35.20304,Arctic
10.322138,35.33597,Arctic
7.9401646,34.611237,Arctic
10.988773,35.44854,Arctic
3.397,34.289,Arctic
13.555828,34.888794,Arctic
9.913806,34.96439,Arctic
5.7244,34.89422,Arctic
4.5791917,31.610252,Arctic
11.530655,34.5317,Arctic
8.723771,34.835968,Arctic
14.6022005,34.6531,Arctic
8.603009,35.240204,Arctic
9.169504,34.670708,Arctic
8.226836,35.039,Arctic
8.499104,35.007,Arctic
13.418778,34.48521,Arctic
5.2495637,34.626175,Arctic
8.218402,35.16495,Arctic
11.5339775,35.21581,Arctic
15.39,35.364,Arctic
7.9800153,35.06472,Arctic
8.289952,34.609974,Arctic
5.756488,34.91042,Arctic
11.106,35.307007,Arctic
14.548951,35.149853,Arctic
3.1559954,34.727,Arctic
11.395538,35.002823,Arctic
5.1120763,31.263084,Arctic
4.3640556,34.7702,Arctic
12.235,35.28,Arctic
13.105372,35.226376,Arctic
3.658763,34.73788,Arctic
9.779096,34.980984,Arctic
7.1246243,35.036728,Arctic
4.484811,34.95119,Arctic
12.892045,35.091885,Arctic
15.200101,34.621,Arctic
5.425327,34.779,Arctic
4.615017,34.807858,Arctic
8.736376,35.192,Arctic
4.6638064,34.09128,Arctic
4.3952374,34.851574,Arctic
5.5904317,34.99227,Arctic
7.213968,35.00858,Arctic
3.906636,34.541485,Arctic
13.994546,35.37777,Arctic
8.539745,34.875614,Arctic
6.858355,35.114,Arctic
6.4650626,34.667,Arctic
4.4709415,34.745056,Arctic
12.493872,34.672,Arctic
4.9968977,34.78393,Arctic
9.344981,35.311893,Arctic
8.1058445,35.03861,Arctic
12.350872,35.29403,Arctic
8.778484,35.285,Arctic
11.968009,34.88101,Arctic
3.2717886,35.015106,Arctic
10.474,34.227,Arctic
7.860924,35.116615,Arctic
3.6546953,34.87246,Arctic
9.784393,35.0101,Arctic
8.033259,34.84614,Arctic
8.897708,34.329746,Arctic
11.226,35.231,Arctic
6.911,34.693,Arctic
9.033843,35.039993,Arctic
11.3729925,34.979248,Arctic
12.601052,35.43041,Arctic
4.171313,34.674603,Arctic
8.904587,35.137962,Arctic
13.082781,35.2072,Arctic
11.189456,35.256683,Arctic
12.380652,35.258835,Arctic
3.844908,34.735184,Arctic
0.5619973,34.17,Arctic
6.7534184,34.963,Arctic
15.116417,33.99575,Arctic
6.0717635,35.046574,Arctic
6.805,34.46,Arctic
11.214019,35.330143,Arctic
4.781742,34.73913,Arctic
10.272822,34.755,Arctic
15.292857,34.7096,Arctic
8.047029,34.682,Arctic
5.105,34.962,Arctic
12.416237,35.40502,Arctic
14.816113,35.468872,Arctic
5.4869227,34.825,Arctic
6.661013,35.123985,Arctic
13.04,34.9484,Arctic
6.8699627,34.668163,Arctic
11.53754,35.20178,Arctic
4.282009,34.8594,Arctic
3.753982,34.865993,Arctic
6.2245946,33.997196,Arctic
3.928575,34.21229,Arctic
11.462746,35.46209,Arctic
8.799431,34.798084,Arctic
5.807036,34.6449,Arctic
4.1546674,34.806667,Arctic
6.4121666,34.9711,Arctic
6.9157414,35.158,Arctic
10.766936,35.049,Arctic
6.491,35.127,Arctic
7.33318,34.334274,Arctic
11.919533,35.505215,Arctic
9.478501,33.9985,Arctic
9.709028,34.722,Arctic
16.149178,34.92472,Arctic
6.8190928,34.690594,Arctic
10.067359,35.133972,Arctic
9.062,35.105,Arctic
9.651524,34.532,Arctic
5.892495,34.6566,Arctic
13.501183,35.238907,Arctic
4.6950974,34.968903,Arctic
9.33,35.086025,Arctic
6.0180197,34.002,Southern_Ocean
-1.8501999,34.406696,Southern_Ocean
4.1,33.928,Southern_Ocean
-0.684,33.804,Southern_Ocean
-1.0648704,33.931,Southern_Ocean
3.4767058,33.843,Southern_Ocean
0.67993575,34.0769,Southern_Ocean
-1.727982,33.750786,Southern_Ocean
-0.647176,33.917,Southern_Ocean
2.014808,33.793415,Southern_Ocean
-0.391,33.921947,Southern_Ocean
4.494545,33.761143,Southern_Ocean
6.9372716,34.03218,Southern_Ocean
3.0950098,33.97,Southern_Ocean
-1.848761,34.168667,Southern_Ocean
0.054245997,33.973812,Southern_Ocean
-1.2990096,34.0651,Southern_Ocean
2.4546444,34.000214,Southern_Ocean
4.0472713,34.048145,Southern_Ocean
-0.70354223,33.84893,Southern_Ocean
2.9399004,33.855,Southern_Ocean
1.7292688,33.912,Southern_Ocean
2.3378189,33.906693,Southern_Ocean
0.51798916,33.903008,Southern_Ocean
-0.1773792,33.09576,Southern_Ocean
-0.677,33.92679,Southern_Ocean
3.2221422,33.935913,Southern_Ocean
-1.0666283,33.807,Southern_Ocean
6.684729,34.04873,Southern_Ocean
7.512729,34.34402,Southern_Ocean
3.797,33.868,Southern_Ocean
4.189,33.912,Southern_Ocean
3.4700089,33.834,Southern_Ocean
-1.7270789,34.02567,Southern_Ocean
6.4422636,34.161232,Southern_Ocean
0.6396907,33.92099,Southern_Ocean
5.436995,34.2083,Southern_Ocean
1.9086893,34.016163,Southern_Ocean
-1.5544784,33.9223,Southern_Ocean
-1.3794183,33.6986,Southern_Ocean
6.828,34.10608,Southern_Ocean
1.503,33.91,Southern_Ocean
-0.9381768,33.762905,Southern_Ocean
-1.8637733,34.279205,Southern_Ocean
2.161,33.996,Southern_Ocean
-1.1279373,34.1397,Southern_Ocean
0.16922997,33.83,Southern_Ocean
0.1330764,33.861034,Southern_Ocean
2.0399032,34.0199,Southern_Ocean
1.245379,34.082,Southern_Ocean
-0.10743202,34.052147,Southern_Ocean
-1.7932627,33.859516,Southern_Ocean
-1.7205497,34.134384,Southern_Ocean
4.5463643,34.0241,Southern_Ocean
4.704,34.0421,Southern_Ocean
-0.63248056,33.792667,Southern_Ocean
4.9643655,33.904,Southern_Ocean
-1.1294222,33.93705,Southern_Ocean
-1.6077797,33.919655,Southern_Ocean
3.084,34.0561,Southern_Ocean
-1.4981099,33.776447,Southern_Ocean
1.5896753,33.816,Southern_Ocean
0.8123621,33.971806,Southern_Ocean
4.712365,33.952,Southern_Ocean
5.736754,33.9486,Southern_Ocean
-0.489,33.838,Southern_Ocean
0.3446244,33.875767,Southern_Ocean
-0.6163963,34.192,Southern_Ocean
1.269039,33.893993,Southern_Ocean
-0.13314971,33.83707,Southern_Ocean
1.3557874,33.60802,Southern_Ocean
5.521883,34.072742,Southern_Ocean
-1.76,33.947,Southern_Ocean
2.1287282,33.792,Southern_Ocean
2.743,33.491,Southern_Ocean
0.7050832,34.2089,Southern_Ocean
6.590213,34.002975,Southern_Ocean
2.119,33.813,Southern_Ocean
-1.2356739,33.48765,Southern_Ocean
-1.8620255,34.450768,Southern_Ocean
2.1737914,33.96,Southern_Ocean
2.4006217,33.796764,Southern_Ocean
6.7802978,34.128,Southern_Ocean
-1.8366439,33.992596,Southern_Ocean
4.8551025,34.191998,Southern_Ocean
0.11809856,33.88195,Southern_Ocean
-0.23192544,33.862038,Southern_Ocean
4.4927306,33.791935,Southern_Ocean
0.315,33.799965,Southern_Ocean
4.4077554,33.872,Southern_Ocean
3.7527282,33.93592,Southern_Ocean
0.014822071,33.9149,Southern_Ocean
0.16609764,34.097416,Southern_Ocean
1.0462654,33.82382,Southern_Ocean
0.28441867,33.936,Southern_Ocean
0.269,33.976395,Southern_Ocean
4.68584,33.966015,Southern_Ocean
1.363,33.788,Southern_Ocean
5.978863,33.933,Southern_Ocean
0.31638506,34.0201,Southern_Ocean
0.12603857,33.91461,Southern_Ocean
-1.8238474,34.151848,Southern_Ocean
-0.38261905,33.81149,Southern_Ocean
-0.9567304,33.85683,Southern_Ocean
0.2899493,33.900475,Southern_Ocean
6.9870872,34.0922,Southern_Ocean
1.9236971,33.874123,Southern_Ocean
1.437,34.0702,Southern_Ocean
-1.8196511,34.007717,Southern_Ocean
0.87221277,33.845,Southern_Ocean
5.9620132,33.925583,Southern_Ocean
-0.6458881,33.966,Southern_Ocean
3.408,33.816,Southern_Ocean
3.4637156,33.87386,Southern_Ocean
-1.618,34.0,Southern_Ocean
7.8967147,34.08111,Southern_Ocean
1.8492637,33.901264,Southern_Ocean
5.7466435,34.05317,Southern_Ocean
6.867272,34.132164,Southern_Ocean
-0.9621629,33.97,Southern_Ocean
5.3009906,34.1241,Southern_Ocean
4.0120096,33.864,Southern_Ocean
-1.2041078,33.94,Southern_Ocean
0.213,33.93,Southern_Ocean
5.12,34.008,Southern_Ocean
1.3149909,33.837,Southern_Ocean
6.50287,33.99821,Southern_Ocean
2.961873,33.915,Southern_Ocean
3.3984864,33.840797,Southern_Ocean
5.544,33.864,Southern_Ocean
-1.7683095,34.21428,Southern_Ocean
4.5403724,33.813835,Southern_Ocean
1.1703899,33.868053,Southern_Ocean
-1.2524335,34.089806,Southern_Ocean
4.864,34.096,Southern_Ocean
0.9782781,33.8009,Southern_Ocean
1.875128,33.895016,Southern_Ocean
-0.775,34.2153,Southern_Ocean
1.5743533,33.899,Southern_Ocean
-1.8323494,34.39228,Southern_Ocean
-1.036,34.228405,Southern_Ocean
4.065324,34.0031,Southern_Ocean
-1.7882781,34.033928,Southern_Ocean
-0.17218459,33.84077,Southern_Ocean
0.0817913,33.791607,Southern_Ocean
2.158,33.841,Southern_Ocean
1.7548652,33.816868,Southern_Ocean
-0.028563716,33.781944,Southern_Ocean
0.09780614,33.945,Southern_Ocean
2.1855726,33.94939,Southern_Ocean
-0.09973083,33.797813,Southern_Ocean
-1.8577164,34.256104,Southern_Ocean
4.0022235,34.076077,Southern_Ocean
0.08561508,34.1186,Southern_Ocean
3.208,33.96,Southern_Ocean
5.0727296,33.94392,Southern_Ocean
4.344731,33.975918,Southern_Ocean
-1.4132366,33.853836,Southern_Ocean
1.293,34.0284,Southern_Ocean
2.804,33.866,Southern_Ocean
-0.001884851,33.900494,Southern_Ocean
1.848484,33.808273,Southern_Ocean
0.61092174,33.726498,Southern_Ocean
4.017447,33.8978,Southern_Ocean
2.2736077,33.8916,Southern_Ocean
-0.08204872,33.906105,Southern_Ocean
-1.6016557,33.866276,Southern_Ocean
1.7986652,33.853027,Southern_Ocean
2.7176533,33.821968,Southern_Ocean
6.293709,34.167,Southern_Ocean
-0.14343579,33.939144,Southern_Ocean
6.456024,34.071,Southern_Ocean
-1.7747483,33.824986,Southern_Ocean
-0.436,33.8957,Southern_Ocean
-1.8358184,34.09687,Southern_Ocean
1.4665376,33.992,Southern_Ocean
7.640729,34.02468,Southern_Ocean
4.5401096,33.9321,Southern_Ocean
-0.60576236,34.070778,Southern_Ocean
5.392521,34.07284,Southern_Ocean
2.7362382,33.746933,Southern_Ocean
1.8544436,33.860943,Southern_Ocean
-0.199,33.921,Southern_Ocean
-1.5702109,33.67348,Southern_Ocean
-1.8468506,34.273594,Southern_Ocean
4.231395,33.914608,Southern_Ocean
0.5887206,33.799385,Southern_Ocean
0.04546142,33.963234,Southern_Ocean
1.8986118,33.76187,Southern_Ocean
-0.60134465,33.998,Southern_Ocean
-1.1117054,33.564705,Southern_Ocean
1.9112698,33.97958,Southern_Ocean
1.6900784,34.00392,Southern_Ocean
-0.62,34.0591,Southern_Ocean
3.3208907,34.130318,Southern_Ocean
0.939,34.0282,Southern_Ocean
-1.8123423,34.042267,Southern_Ocean
0.32008606,33.696743,Southern_Ocean
2.3933082,33.972248,Southern_Ocean
5.9941335,33.782,Southern_Ocean
